id,leto,mesec,dan,ura,minuta,sekunda,DOL,dolzina,SIR,sirina,globina,magnituda,regija
536968,2016,10,14,10,24,06.0,W,89.92,N,35.92,7,2.0,ARKANSAS
536941,2016,10,14,10,23,36.0,W,80.21,N,73.13,10,4.4,PERU-ECUADOR BORDER REGION
536939,2016,10,14,09,28,21.0,E,31.60,N,73.14,10,2.0,WESTERN TURKEY
536937,2016,10,14,08,58,47.0,E,42.87,N,59.45,9,2.8,CENTRAL ITALY
536925,2016,10,14,08,31,54.3,E,19.13,N,38.81,272,4.5,VANUATU
536938,2016,10,14,08,30,38.0,E,46.52,N,57.52,11,1.9,SWITZERLAND
536931,2016,10,14,07,54,31.0,W,18.58,N,62.29,63,3.2,VIRGIN ISLANDS REGION
536920,2016,10,14,07,13,55.0,E,34.23,N,63.03,10,2.7,"CRETE, GREECE"
537022,2016,10,14,06,45,50.0,W,32.12,N,51.52,120,3.3,"SAN JUAN, ARGENTINA"
536911,2016,10,14,06,28,18.2,E,35.91,N,15.26,60,2.4,CYPRUS REGION
536904,2016,10,14,05,32,57.0,W,70.00,S,21.49,45,2.7,"ANTOFAGASTA, CHILE"
536917,2016,10,14,05,03,41.6,E,31.83,N,34.37,10,2.8,CYPRUS REGION
536900,2016,10,14,05,02,41.0,W,70.90,S,27.97,51,2.6,"ATACAMA, CHILE"
536902,2016,10,14,05,02,06.0,W,61.99,N,59.28,19,2.1,SOUTHERN ALASKA
536901,2016,10,14,04,54,54.0,W,19.38,N,61.99,31,2.8,"ISLAND OF HAWAII, HAWAII"
536898,2016,10,14,04,09,20.2,E,13.33,N,42.63,11,3.3,CENTRAL ITALY
536980,2016,10,14,03,50,39.2,W,96.89,N,36.45,5,2.0,OKLAHOMA
536894,2016,10,14,03,43,54.0,W,24.09,N,72.67,210,3.9,"SALTA, ARGENTINA"
536890,2016,10,14,03,14,13.0,E,22.85,N,35.29,4,2.4,CENTRAL MEDITERRANEAN SEA
536919,2016,10,14,03,06,20.5,W,64.95,N,18.42,19,2.4,VIRGIN ISLANDS REGION
536921,2016,10,14,02,54,51.9,W,65.40,N,19.57,75,2.6,PUERTO RICO REGION
536888,2016,10,14,02,39,08.9,E,26.05,N,39.09,6,2.2,NEAR THE COAST OF WESTERN TURKEY
536889,2016,10,14,02,19,50.0,W,30.35,N,63.49,17,2.7,"OFFSHORE COQUIMBO, CHILE"
536918,2016,10,14,01,56,08.3,W,64.94,N,18.12,14,2.5,VIRGIN ISLANDS REGION
536885,2016,10,14,01,44,23.0,E,30.97,N,60.19,10,4.8,SOUTHERN IRAN
536886,2016,10,14,01,33,43.0,W,18.28,N,58.94,131,3.9,PUERTO RICO
536874,2016,10,14,00,56,51.8,W,62.95,N,36.89,114,2.1,CENTRAL ALASKA
536877,2016,10,14,00,48,14.0,W,60.04,N,62.95,112,2.2,SOUTHERN ALASKA
536878,2016,10,14,00,33,31.0,E,37.50,N,61.89,30,4.7,"OFF E. COAST OF N. ISLAND, N.Z."
536872,2016,10,14,00,24,40.0,W,97.34,N,81.03,4,2.4,OKLAHOMA
536868,2016,10,13,23,46,26.8,E,41.58,N,43.39,2,2.9,ALBANIA
536866,2016,10,13,23,13,08.1,W,63.07,S,22.68,8,3.2,CENTRAL ALASKA
536865,2016,10,13,22,59,06.0,W,58.82,N,63.40,2,2.5,"KODIAK ISLAND REGION, ALASKA"
536862,2016,10,13,21,50,38.0,W,60.30,N,58.21,97,2.0,SOUTHERN ALASKA
536858,2016,10,13,21,13,03.5,W,35.49,N,62.77,10,5.4,SOUTHEAST OF EASTER ISLAND
536850,2016,10,13,20,18,44.9,W,31.23,N,62.24,164,4.2,"SAN JUAN, ARGENTINA"
536849,2016,10,13,19,18,49.9,W,43.39,N,33.76,8,3.0,PYRENEES
536846,2016,10,13,19,02,10.0,E,39.73,N,43.39,10,2.9,AEGEAN SEA
536847,2016,10,13,18,55,09.0,W,33.59,N,25.16,8,2.3,SOUTHERN CALIFORNIA
536840,2016,10,13,18,30,44.6,W,63.58,N,41.87,3,2.9,CENTRAL ALASKA
536835,2016,10,13,17,26,53.0,W,68.44,S,21.53,142,4.2,"ANTOFAGASTA, CHILE"
536839,2016,10,13,17,24,34.0,W,33.97,N,63.79,14,2.2,"GREATER LOS ANGELES AREA, CALIF."
536831,2016,10,13,16,19,05.8,E,38.85,S,17.17,5,2.9,EASTERN TURKEY
536827,2016,10,13,16,10,03.7,W,38.84,N,19.38,2,2.3,NORTHERN CALIFORNIA
536843,2016,10,13,15,30,38.6,E,40.12,N,39.88,10,2.4,EASTERN TURKEY
536935,2016,10,13,15,29,45.8,E,20.36,N,38.18,15,2.0,GREECE
536821,2016,10,13,15,22,38.6,E,30.02,N,38.93,5,2.4,WESTERN TURKEY
