id,leto,mesec,DOL,dolzina,regija,minuta,SIR,ura,sirina,dan,magnituda,globina,sekunda
536887,2016,10,W,71.78,"OFFSHORE COQUIMBO, CHILE",59,S,01,30.35,14,2.7,17,27.0
536918,2016,10,W,64.94,VIRGIN ISLANDS REGION,56,N,01,18.12,14,2.5,14,08.3
536885,2016,10,E,30.97,SOUTHERN IRAN,44,N,01,60.20,14,4.8,10,24.0
536886,2016,10,W,18.28,PUERTO RICO,33,N,01,58.94,14,3.9,131,43.0
536874,2016,10,W,62.95,CENTRAL ALASKA,56,N,00,36.89,14,2.0,110,51.8
536876,2016,10,W,61.92,SOUTHERN ALASKA,44,N,00,60.04,14,2.4,30,08.0
536875,2016,10,W,81.03,OFF COAST OF ECUADOR,30,S,00,37.50,14,4.1,10,50.0
536871,2016,10,W,97.34,OKLAHOMA,03,N,00,35.92,14,2.4,4,20.2
536868,2016,10,E,41.58,ALBANIA,46,N,23,43.39,13,2.9,2,26.8
536866,2016,10,W,63.02,CENTRAL ALASKA,13,S,23,22.68,13,3.0,11,08.1
536865,2016,10,W,58.89,"KODIAK ISLAND REGION, ALASKA",59,N,22,63.38,13,2.0,3,06.0
536862,2016,10,W,60.30,SOUTHERN ALASKA,50,N,21,58.21,13,2.0,97,38.0
536858,2016,10,E,38.39,GREECE,13,N,21,62.77,13,2.1,1,03.5
536853,2016,10,E,36.57,SOUTHERN GREECE,40,S,20,35.49,13,2.1,10,50.3
536850,2016,10,W,31.23,"SAN JUAN, ARGENTINA",18,N,20,62.26,13,4.2,164,44.9
538235,2016,10,E,21.23,SOUTHERN GREECE,54,N,19,37.02,13,2.2,10,19.8
538230,2016,10,E,24.44,AEGEAN SEA,50,N,19,38.56,13,2.1,15,16.9
536849,2016,10,W,43.39,PYRENEES,18,N,19,33.76,13,3.0,8,49.9
536844,2016,10,E,23.88,AEGEAN SEA,59,N,18,39.73,13,2.9,10,32.8
536847,2016,10,W,33.59,SOUTHERN CALIFORNIA,55,N,18,25.16,13,2.3,8,09.0
536840,2016,10,W,63.50,CENTRAL ALASKA,30,N,18,41.87,13,2.8,10,44.6
536835,2016,10,W,68.44,"ANTOFAGASTA, CHILE",26,S,17,21.53,13,4.2,142,53.0
536839,2016,10,W,33.97,"GREATER LOS ANGELES AREA, CALIF.",24,N,17,63.78,13,2.2,14,34.0
536834,2016,10,E,37.46,IONIAN SEA,14,N,17,33.97,13,2.2,1,28.1
538049,2016,10,E,26.90,"DODECANESE ISLANDS, GREECE",06,N,17,36.29,13,3.1,109,56.1
538031,2016,10,E,21.67,SOUTHERN GREECE,31,N,16,36.56,13,2.3,1,41.8
536831,2016,10,E,38.85,EASTERN TURKEY,19,S,16,17.17,13,2.9,5,05.8
536827,2016,10,W,38.84,NORTHERN CALIFORNIA,10,N,16,19.38,13,2.3,2,03.7
536843,2016,10,E,40.12,EASTERN TURKEY,30,N,15,39.88,13,2.4,10,38.6
536935,2016,10,E,20.36,GREECE,29,N,15,38.18,13,2.0,15,45.8
536821,2016,10,E,30.02,WESTERN TURKEY,22,N,15,38.93,13,2.4,5,38.6
536829,2016,10,E,44.13,"CAUCASUS REGION, RUSSIA",13,N,15,43.06,13,3.3,5,06.8
536820,2016,10,E,36.42,CENTRAL TURKEY,54,N,14,36.15,13,2.0,5,00.0
536816,2016,10,E,39.56,"KERKIRA REGION, GREECE",38,S,14,62.32,13,3.3,2,35.5
536813,2016,10,W,68.91,"TARAPACA, CHILE",19,S,14,21.07,13,3.9,112,19.0
536808,2016,10,W,30.33,"COQUIMBO, CHILE",09,N,14,19.43,13,2.6,45,25.9
538102,2016,10,W,61.28,SOUTHERN ALASKA,02,N,14,52.14,13,2.1,15,32.0
536812,2016,10,W,40.94,"OFFSHORE LOS LAGOS, CHILE",53,N,13,61.28,13,3.6,18,26.0
536802,2016,10,W,71.51,"OFFSHORE VALPARAISO, CHILE",23,S,13,32.63,13,3.8,27,58.0
536801,2016,10,E,20.63,GREECE,21,N,13,38.12,13,2.6,9,51.4
536869,2016,10,W,18.27,PUERTO RICO REGION,12,S,13,19.85,13,2.2,48,42.0
536804,2016,10,E,37.67,CENTRAL TURKEY,01,N,13,37.22,13,2.0,8,28.6
536805,2016,10,E,46.44,"CAUCASUS REGION, RUSSIA",24,N,12,42.83,13,3.6,60,45.0
536798,2016,10,E,45.39,FRANCE,17,N,12,63.23,13,2.3,8,07.0
536794,2016,10,E,39.82,NEAR THE COAST OF WESTERN TURKEY,35,S,11,36.12,13,1.5,20,21.5
536791,2016,10,E,47.43,FRANCE,44,N,10,76.72,13,2.0,0,02.0
536800,2016,10,E,46.57,"CAUCASUS REGION, RUSSIA",28,N,10,42.20,13,3.5,10,49.0
536792,2016,10,W,36.23,CENTRAL CALIFORNIA,26,N,10,61.07,13,2.0,6,47.0
536786,2016,10,W,38.80,NORTHERN CALIFORNIA,10,N,10,19.38,13,2.0,1,23.4
536783,2016,10,E,39.87,EASTERN TURKEY,21,N,09,40.69,13,2.0,18,34.2
536783,2016,10,E,39.87,EASTERN TURKEY,21,N,09,40.69,13,2.0,18,34.2
536782,2016,10,W,35.81,"OFFSHORE MAULE, CHILE",21,N,09,19.36,13,3.7,36,14.5
536780,2016,10,E,27.84,WESTERN TURKEY,16,N,09,37.19,13,1.5,10,27.3
536778,2016,10,E,27.87,WESTERN TURKEY,12,N,09,37.21,13,1.7,10,02.3
536823,2016,10,W,96.89,OKLAHOMA,54,N,08,36.40,13,2.3,5,32.2
536777,2016,10,E,28.22,WESTERN TURKEY,51,N,08,37.21,13,1.7,9,38.0
536769,2016,10,W,56.78,ALASKA PENINSULA,00,N,08,47.45,13,2.5,48,32.3
536762,2016,10,W,31.24,"BAJA CALIFORNIA, MEXICO",56,N,06,73.16,13,3.3,6,08.0
536764,2016,10,E,41.56,EASTERN TURKEY,32,N,06,39.19,13,2.2,15,03.9
536761,2016,10,W,65.46,"NORTHERN YUKON TERRITORY, CANADA",26,N,06,59.47,13,2.1,4,45.0
536765,2016,10,E,28.86,EASTERN MEDITERRANEAN SEA,09,N,06,35.31,13,2.2,14,44.6
536760,2016,10,E,67.98,CENTRAL AFGHANISTAN,03,N,06,36.45,13,4.4,10,50.4
536757,2016,10,E,22.78,FYR OF MACEDONIA,58,N,05,41.80,13,2.5,2,17.7
536771,2016,10,E,38.28,WESTERN TURKEY,55,S,05,32.56,13,2.4,9,25.0
536754,2016,10,E,37.21,WESTERN TURKEY,30,N,05,37.63,13,1.9,10,30.9
536750,2016,10,E,13.07,CENTRAL ITALY,11,N,05,75.09,13,3.1,9,24.0
536748,2016,10,E,13.08,CENTRAL ITALY,53,N,04,42.86,13,2.6,9,33.2
536747,2016,10,E,39.18,WESTERN TURKEY,35,N,04,47.03,13,2.5,2,19.5
536745,2016,10,W,21.17,"TARAPACA, CHILE",55,N,03,25.57,13,3.1,102,12.5
536743,2016,10,E,27.83,DODECANESE IS.-TURKEY BORDER REG,50,N,03,36.21,13,2.0,62,13.7
536772,2016,10,W,63.95,VIRGIN ISLANDS REGION,39,N,03,18.23,13,2.7,98,20.0
536759,2016,10,E,33.58,CYPRUS REGION,26,N,03,34.64,13,1.6,18,46.8
536740,2016,10,W,67.60,"ANTOFAGASTA, CHILE",20,S,03,24.12,13,4.4,221,05.0
536770,2016,10,W,64.52,VIRGIN ISLANDS REGION,19,N,03,18.07,13,2.2,9,04.5
536739,2016,10,E,29.11,WESTERN TURKEY,16,N,03,39.98,13,2.7,8,13.8
536738,2016,10,E,29.12,WESTERN TURKEY,14,N,03,39.98,13,3.2,5,53.7
536722,2016,10,W,98.31,OKLAHOMA,48,N,02,36.77,13,3.6,9,41.7
536721,2016,10,E,29.11,WESTERN TURKEY,34,N,02,39.97,13,2.0,6,38.3
536737,2016,10,E,38.51,CENTRAL TURKEY,30,N,02,63.02,13,1.5,5,48.0
536716,2016,10,E,29.04,WESTERN TURKEY,06,N,02,40.05,13,2.0,5,20.3
536716,2016,10,E,29.04,WESTERN TURKEY,06,N,02,40.05,13,2.0,5,20.3
536720,2016,10,W,30.75,"COQUIMBO, CHILE",04,N,02,61.65,13,2.7,46,32.0
536719,2016,10,E,37.89,WESTERN TURKEY,33,N,01,61.02,13,1.8,5,40.0
538100,2016,10,W,17.86,PUERTO RICO REGION,55,N,00,59.76,13,2.3,12,05.0
536724,2016,10,E,26.72,NEAR THE COAST OF WESTERN TURKEY,26,N,00,38.02,13,1.9,3,14.5
536725,2016,10,E,27.52,WESTERN TURKEY,20,N,00,40.79,13,2.0,13,40.9
536726,2016,10,E,29.33,WESTERN TURKEY,16,N,00,37.99,13,1.7,12,53.3
538101,2016,10,W,62.86,CENTRAL ALASKA,16,N,00,59.86,13,2.0,85,30.0
